City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
511,yarim,14.298,44.3779,10.49,64,17,0.78,YE,1675547135
512,dapaong,10.8639,0.205,28.65,15,12,2.46,TG,1675547135
513,cacapava do sul,-30.5122,-53.4914,24.21,30,12,3.64,BR,1675547136
514,kachiry,53.0675,76.1036,-22.68,100,44,2.76,KZ,1675546663
515,sisimiut,66.9395,-53.6735,-22.51,94,52,3.92,GL,1675547137
516,san cristobal,7.7669,-72.225,26.1,43,23,1.84,VE,1675547138
517,merauke,-8.4667,140.3333,24.91,90,100,2.75,ID,1675547138
518,bambanglipuro,-7.95,110.2833,25.32,85,100,5.94,ID,1675547139
519,montepuez,-13.1256,38.9997,20.95,97,100,0.79,MZ,1675547139
520,dauphin,51.1494,-100.0502,-7.92,79,100,2.57,CA,1675547140
521,kachug,53.9606,105.8817,-23.72,100,97,1.24,RU,1675547140
522,arlit,18.7369,7.3853,22.64,11,17,5.05,NE,1675547141
523,chokwe,-24.5333,32.9833,22.99,89,4,2.9,MZ,1675547141
524,arteaga,18.4667,-102.4167,28.35,26,1,2.1,MX,1675546907
525,atyrau,47.1167,51.8833,-9.99,92,75,3.0,KZ,1675547142
526,kambove,-10.8764,26.5969,15.52,98,100,1.92,CD,1675547142
527,bethanien,-26.502,17.1583,27.1,22,93,5.06,NA,1675547143
528,murray bridge,-35.1167,139.2667,16.74,74,11,0.56,AU,1675547143
529,angoche,-16.2325,39.9086,25.42,89,72,2.7,MZ,1675547144
530,ypsonas,34.6884,32.9574,10.71,66,20,1.54,CY,1675547144
531,chapais,49.7834,-74.8492,-21.12,95,100,4.27,CA,1675546911
532,popondetta,-8.7537,148.2534,25.8,85,100,0.46,PG,1675547145
533,colares,38.7992,-9.4469,13.55,58,0,6.71,PT,1675547145
534,ahuimanu,21.4447,-157.8378,22.42,88,100,4.12,US,1675547146
535,palana,59.1167,159.9667,-22.48,99,92,1.8,RU,1675547146
536,nome,64.5011,-165.4064,-10.96,85,100,3.6,US,1675547147
537,batagay-alyta,67.8006,130.4114,-35.89,94,98,1.03,RU,1675547147
538,snezhnogorsk,69.1933,33.2531,-16.12,99,95,1.58,RU,1675547148
539,maceio,-9.6658,-35.7353,27.69,78,0,4.63,BR,1675547059
540,concepcion del oro,24.6333,-101.4167,19.19,19,23,1.78,MX,1675547029
541,meadow lake,34.8014,-106.5436,15.44,18,10,1.17,US,1675547149
542,taltal,-25.4,-70.4833,22.39,74,42,1.67,CL,1675547149
543,chkalovsk,56.7647,43.2433,-6.6,97,100,2.69,RU,1675547150
544,concepcion del uruguay,-32.4825,-58.2372,27.77,35,0,2.24,AR,1675547150
545,naze,28.3667,129.4833,13.51,67,99,4.77,JP,1675547151
546,sorland,67.667,12.6934,2.92,91,100,18.0,NO,1675546633
547,dudinka,69.4058,86.1778,-11.32,96,100,3.47,RU,1675547152
548,manoel urbano,-8.8389,-69.2597,23.24,87,100,0.97,BR,1675547153
549,juneau,58.3019,-134.4197,1.72,94,100,0.0,US,1675546603
550,kimbe,-5.5502,150.1429,27.15,82,96,0.45,PG,1675546981
551,reconquista,-29.15,-59.65,31.85,21,86,3.83,AR,1675547154
552,neuquen,-38.9516,-68.0591,36.94,15,0,3.6,AR,1675547034
553,lebrija,36.9208,-6.0753,11.63,81,0,1.03,ES,1675546907
554,asheville,35.6009,-82.554,7.79,43,0,3.09,US,1675547064
555,mahon,39.8885,4.2658,13.31,67,0,10.8,ES,1675547155
556,biak,-0.9131,122.8766,24.14,84,100,1.51,ID,1675546857
557,nakama,33.8167,130.7,1.92,60,7,2.16,JP,1675547156
558,tabuk,17.4189,121.4443,18.43,88,94,1.4,PH,1675546956
559,betong,5.7743,101.0723,19.73,98,56,1.34,TH,1675546657
560,ban mo,14.6154,100.7273,26.27,91,99,2.06,TH,1675547157
561,lubao,14.9167,120.55,23.84,83,84,2.74,PH,1675547158
562,bengkulu,-3.8004,102.2655,23.31,89,100,2.07,ID,1675546617
563,bundaberg,-24.85,152.35,27.34,86,43,1.34,AU,1675547158
564,andenes,69.3143,16.1194,1.99,69,100,9.26,NO,1675546650
565,la primavera,5.4906,-70.4092,33.09,35,81,4.0,CO,1675547159
566,karachi,24.9056,67.0822,15.9,94,5,0.0,PK,1675547044
567,moyale,3.5167,39.0584,20.3,32,92,3.15,KE,1675547160
568,palaikastron,35.2,26.25,13.33,66,82,11.98,GR,1675547160
569,astana,51.1801,71.446,-10.03,79,75,5.0,KZ,1675547161
570,asyut,27.181,31.1837,12.1,49,84,2.37,EG,1675547161
